gene_id	gene_short_name	halflife_160412_r1	halflife_160412_r2
YBR118W	TEF2	25.0513532	25.64210964
YBR119W	MUD1	2.513129748	4.304633617
YBR120C	CBP6	2.748570673	3.54759157
YBR121C	GRS1	11.22642452	11.65600022
YBR121C-A	YBR121C-A	NA	NA
YBR122C	MRPL36	5.164911477	6.419173773
YBR123C	TFC1	1.189947153	1.717468311
YBR124W	YBR124W	NA	NA
YBR125C	PTC4	2.779263665	4.155945641
YBR126C	TPS1	8.053038648	14.26345252
YBR126W-A	YBR126W-A	3.546993093	5.446025137
YBR126W-B	YBR126W-B	7.288205347	NA
YBR127C	VMA2	20.62458794	20.39251737
YBR128C	ATG14	NA	5.581108068
YBR129C	OPY1	3.410568876	2.333025445
YBR130C	SHE3	2.670242209	3.411040732
YBR131C-A	YBR131C-A	NA	NA
YBR131W	CCZ1	1.1903169	NA
YBR132C	AGP2	3.578174206	3.590256573
YBR133C	HSL7	3.182848078	3.471155349
YBR134W	YBR134W	NA	NA
YBR135W	CKS1	4.60612963	4.576846786
YBR136W	MEC1	2.086796334	2.612993573
YBR137W	YBR137W	6.495077463	10.76174173
YBR138C	YBR138C	2.19886707	2.799224553
YBR139W	YBR139W	5.305968602	6.158341428
YBR140C	IRA1	3.467619072	4.87420536
YBR141C	YBR141C	2.038403908	1.8042022
YBR141W-A	YBR141W-A	2.281684328	NA
YBR142W	MAK5	4.556820785	4.711249697
YBR143C	SUP45	6.348811336	5.893281717
YBR144C	YBR144C	NA	NA
YBR145W	ADH5	5.463668379	5.174756484
YBR146W	MRPS9	5.469459611	8.413198402
YBR147W	RTC2	3.489826354	3.226003572
YBR148W	YSW1	6.100854392	NA
YBR149W	ARA1	11.25523361	16.30720355
YBR150C	TBS1	1.904945721	3.79439828
YBR151W	APD1	5.297918698	7.194882409
YBR152W	SPP381	1.496742915	NA
YBR153W	RIB7	1.609986384	1.666544338
YBR154C	RPB5	3.317672931	3.892017976
YBR155W	CNS1	4.125766707	5.233976383
YBR156C	SLI15	2.288703352	1.777020856
YBR157C	ICS2	1.180972282	2.036135097
YBR158W	AMN1	1.240709999	1.402873104
